172.30.0.1 - - [18/Mar/2024:21:26:20 +0000] "OPTIONS /api/votes/65f8a958162e61c79de7732d HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "1f02d75dce1dd57762ac08569e646146"
172.30.0.1 - - [18/Mar/2024:21:27:08 +0000] "GET /api/votes HTTP/1.1" 200 556 "-" "PostmanRuntime/7.37.0" kong_request_id: "1fbfae0d84bfaf4cf9d3ec40f9969c77"
172.30.0.1 - - [18/Mar/2024:21:27:18 +0000] "POST /api/votes/65f8a958162e61c79de7732d HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "edd2a96ecbf24317d66bbb698b85451d"
172.30.0.1 - - [18/Mar/2024:21:27:20 +0000] "GET /api/votes HTTP/1.1" 200 583 "-" "PostmanRuntime/7.37.0" kong_request_id: "1526bb25bbb7f444a268cc1872150001"
172.30.0.1 - - [18/Mar/2024:21:28:50 +0000] "POST /api/contestants HTTP/1.1" 401 96 "-" "PostmanRuntime/7.37.0" kong_request_id: "593b313bcc21632e1ea26e19791f3121"
172.30.0.1 - - [18/Mar/2024:21:28:54 +0000] "POST /api/contestants HTTP/1.1" 200 56 "-" "PostmanRuntime/7.37.0" kong_request_id: "e38a7d5b95b62b538fd818272ec2fe4c"
172.30.0.1 - - [18/Mar/2024:21:28:57 +0000] "GET /api/votes HTTP/1.1" 200 423 "-" "PostmanRuntime/7.37.0" kong_request_id: "a3a98424b0bdb37f9c24f11f9bf2390f"
172.30.0.1 - - [18/Mar/2024:21:29:13 +0000] "POST /api/votes/65f8a958162e61c79de7732d HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "5bd85002f7bae0625c8ae9327ada2760"
172.30.0.1 - - [18/Mar/2024:21:29:25 +0000] "POST /api/votes/65f8a950162e61c79de7732c HTTP/1.1" 500 45 "-" "PostmanRuntime/7.37.0" kong_request_id: "c6d8b55abe36f208193f8926e5976468"
172.30.0.1 - - [18/Mar/2024:21:29:44 +0000] "POST /api/contestants HTTP/1.1" 200 56 "-" "PostmanRuntime/7.37.0" kong_request_id: "43f6a15512137667de2e016030c94b44"
